Nombre	Vacunas exijidas	Vacunas recomendadas	,,,,
BAHAMAS\tNassau\t10 m\tInglés, Criollo\t312.000\tDólar de Bahamas\tGMT-5\tSubtropical, debido a la corriente del golfo y los vientos alisios. Lluvias en forma de cortos chaparrones de verano.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Excluyendo Guyana, Surinam y Trinidad y Tobago. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
BOSNIA - HERZEGOVINA\tSarajevo\t520 m\tBosnio, Croata y Serbio\t4.100.000\tDínar bosnio, Marka\tGMT+1\tMediterráneo.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
BIELORRUSIA o BELAR&#xDA;S\tMinsk\t210 m\tBielorruso\t10.200.000\tRublo\tGMT+1\tVeranos secos e inviernos fríos.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones.
Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
BONAIRE\tKralendijk\t,Holandés, alemán, francés\t16.000 habitantes\tDólar estadounidense\tUTC -4\t,,Requerimientos del país: certificado de vacunación frente a la fiebre amarilla para viajeros mayores de 6 meses de edad procedentes de países con riesgo de transmisión de fiebre amarilla. Estos requerimientos son sólo aplicables a viajeros con destino Bonaire, Saba y San Eustaquio. Recomendaciones de vacunación frente a la fiebre amarilla: No.\t,,
CUBA\tLa Habana\t30 m\tEspañol\t11.200.000\tPeso cubano\tGMT-5\tSemitropical, con lluvias entre mayo y octubre.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
CAMBOYA\tPhnom Penh\t20 m\tJmer\t13.700.000\tRiel\tGMT+7\tTropical con monzones. La estación de lluvias se produce entre los meses de junio y octubre.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizase de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
EMIRATOS &#xC1;RABES UNIDOS\tAbu Dhabi\t10 m\tÁrabe\t2.700.000\tDirham UAR\tGMT+4\tTemperaturas extremadamente altas casi todo el año. Humedad muy alta, sobre todo en verano y en las zonas más costeras. Las lluvias son muy escasas y sólo se registran entre noviembre y marzo. Ropa de verano entre mayo y octubre, ropa de otoño de octubre a abril.\tEmbajadas y Consulados\tFiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
COREA DEL SUR\tSeúl\t60 m\tCoreano\t47.500.000\tWon sudcoreano\tGMT+9\tContinental, con inviernos fríos y secos y veranos calurosos y lluviosos. Las lluvias se concentran en los meses de verano, desde junio a agosto. La costa sur está sometida a los tifones de finales de verano que provocan fuertes vientos y lluvias.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
FRANCIA\tParís\t40 m\tFrancés\t59.500.000\tEuro\tGMT+1\tVeranos calurosos e inviernos fríos.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LESOTHO\tMaseru\t1.700 m\tSesotho e inglés\t2.000.000\tMaloti\tGMT+2\tContinental templado. Estación lluviosa de octubre a abril; de mayo a julio nieva en las montañas.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros de más de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MACAO\tMacao\t,Portugués y cantonés.\t475.000\tPataca\tGMT+8\t,Embajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MYANMAR (Burma)\tRanghún (Rangoon)\t20 m\tBirmano\t54.000.000\tKyat de Myanmar\tGMT+6.5\tTropical con monzones. Lluvias de junio a octubre, elevada humedad todo el año. Temperaturas suaves desde noviembre hasta febrero.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos. Los nacionales y residentes en Myanmar que salen del país hacia una zona con riesgo de transmisión de la fiebre amarilla deben disponer del certificado de vacunación. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MARTINICA\tFort-de-France\t0 m\tFrancés\t387.000\tEuro\tGMT-4\tTropical muy húmedo. Los meses lluviosos son septiembre y octubre. La temperatura depende mucho de la altitud.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la fiebre amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KENIA\tNairobi\t1.800 m\tInglés y suahili\t34.700.000\tChelín keniano\tGMT+3\tEl país está dividido en 2 partes por el ecuador. La zona situada al norte es cálida y recibe pocas precipitaciones La región situada al sur está formada por tres regiones metereológicas: la costa húmeda, las tierras altas relativamente templadas y la región del Lago Victoria que es tropical. Las estaciones de lluvias se extienden desde octubre a diciembre y desde abril a junio.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendación de vacunación contra la fiebre amarilla: Sí. Generalmente no recomendada en áreas donde el riesgo de exposición es bajo: la totalidad de la provincia del noreste; los estados de Kilifi, Kwale, Lamu, Malindi y Tanariver en la provincia costera, y  las ciudades de Nairobi y Mombasa. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por ejemplo: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito).\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KUWAIT\tKuwait\t30 m\tÁrabe\t2.020.000\tDinar Kuwaiti\tGMT+3\tDesértico. Temperaturas medias en torno a los 40º, más suaves en la costa que en el interior aunque con mayor humedad relativa. Ocasionales tormentas de arena. Inviernos fríos y escasas lluvias, normalmente entre noviembre y marzo. Es conveniente llevar ropa ligera, excepto en los meses de invierno.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LETONIA\tRiga\t0 m\tLetón\t2.400.000\tEuro\tGMT+2\tVeranos suaves e inviernos fríos.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MONGOLIA\tUlaanbaatar (Ulan Bator)\t1300 m\tMongol khalkha\t2.500.000\tTugrik\tGMT+8\tSeco, con inviernos largos secos y extremadamente fríos y veranos breves y templados.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISRAEL\tJerusalén\t20 m\tHebreo y árabe\t6.300.000\tNuevo Sheqel israelí\tGMT+2\tMediterráneo al norte, con veranos cálidos y secos e inviernos templados con poca pluviosidad. En el interior lluvioso con noches frías pero con veranos más secos y agradables. En el sur muy pocas lluvias, inviernos de noches frías y veranos muy calurosos.\tEmbajadas y Consulados\tFiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KAZAJST&#xC1;N\tAlmaty (Astana)\t356 m\tKazajo\t15.200.000\tTengue\tGMT+5\tEstepario y frío. Seco en las llanuras y algo más húmedo en las montañas del sureste.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
NUEVA ZELANDA\tWellington\t70 m\tInglés\t3.800.000\tDólar neozelandés\tGMT+12\tTemplado, sin grandes diferencias estacionales. El extremo norte de la Península Auckland es la zona más calurosa y la vertiente suroeste de los Alpes Meridionales es la zona más fría. Las precipitaciones van de moderadas a abundantes, dependiendo de la región. Es imprescindible llevar un impermeable y durante todo el año alguna prenda de abrigo.\tEmbajadas y Consulados\tFiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
PARAGUAY\tAsunción\t60 m\tEspañol y guaraní\t6.600.000\tGuaraní\tGMT-4\tSubtropical, cálido y húmedo. En el área de Asunción las temperaturas varían desde los 17ºC en julio a los 26ºC en enero, en el norte las temperaturas alcanzan a menudo los 37ºC. En el norte las precipitaciones son abundantes en verano y escasas en invierno.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la fiebre amarilla (2015) a los viajeros mayores de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendación de vacunación contra la fiebre amarilla: Sí. Recomendada para todos los viajeros a partir de 9 meses excepto los indicados a continuación. Generalmente no recomendada ((La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros cuyo itinerario se limite a la ciudad de Asunción. El certificado de vacunación es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
NUEVA CALEDONIA y DEPENDENCIAS\tNoumea\t10 m\tFrancés\t220.000\tFranco CPF\tGMT+11\tSubtropical moderado. Dos estaciones: seca y fría (de abril a noviembre) y templada y húmeda (de diciembre a marzo).Vientos del sudeste.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Nota: En caso de amenaza epidémica al territorio podría exigirse un certificado de vacunación específico. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
NORUEGA\tOslo\t50 m\tNoruego\t4.500.000\tCorona noruega\tGMT+1\tSubártico o ártico, templado en la costa.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
N&#xCD;GER\tNiamey\t220 m\tFrancés\t11.600.000\tFranco CFA\tGMT+1\tÁrido, caluroso y seco, desértico en el norte. Los meses más frescos van de octubre a marzo. La estación de las lluvias va de julio y agosto. El harmattan (viento del Sáhara) sopla de noviembre a enero .\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a todos los viajeros mayores de un año de edad y se recomienda para todos los viajeros que salgan de Níger. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Recomendada para todos los viajeros mayores de 9 meses de edad que se dirijan a áreas del sur del desierto del Sáhara. No recomendada para viajeros cuyo itinerario se limite a áreas del desierto del Sáhara.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
NAUR&#xDA;\tYaren\t10 m\tInglés\t13.050\tDólar australiano\tGMT+12\tTropical. Las temperaturas medias rebasan los 30º. Durante todo el año, caluroso y húmedo. La estación de las lluvias tiene lugar entre noviembre y febrero.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MALASIA\tKuala Lumpur\t50 m\tBahasa Melayu\t23.000.000\tRinggit malayo\tGMT+8\tCaluroso y húmedo la mayor parte del año. Las temperaturas medias van desde los 21ºC a los 32ºC. La vertiente norte de Sarawk y Sabah es muy lluviosa. Monzones en invierno.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la fiebre amarilla (2015) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MAL&#xCD;\tBamako\t340 m\tFrancés\t12.000.000\tFranco CFA\tGMT\tDe semitropical a árido. La estación de las lluvias va de junio a septiembre. Las temperaturas más elevadas se dan de marzo a mayo. De diciembre a febrero sopla el harmattan (viento del Sáhara que llena el aire de arena). Es conveniente llevar zapatos fuertes y ropa de verano en la capital.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2013) a todos los viajeros mayores de un año. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Recomendada para todos los viajeros mayores de 9 meses que viajan a zonas del sur del desierto del Sáhara. No recomendada para viajeros cuyo itinerario se limite a áreas del desierto del Sáhara.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LIBIA\tTrípoli\t20 m\tÁrabe\t5.500.000\tDinar libio\tGMT+1\tMediterráneo en la costa y desértico en el interior. Lluvias escasas sobre todo en el interior.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado por un aeropuerto de un país con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MONTENEGRO\tPodgorica\t,Montenegrino\t625.266 habitantes\tEuro\tGMT +1\tMediterráneo.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.

Recomendación de vacunación contra la fiebre amarilla (2013): ninguna.\t,,
SAN CRIST&#xD3;BAL Y NIEVES\tBasseterre\t360 m\tInglés\t38.900\tDólar del Caribe Oriental\tGMT-4\tEl clima tropical lluvioso, moderado por la influencia marina.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros  mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.
El certificado de vacunación de fiebre amarilla es válido para toda la vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
PUERTO RICO\tSan Juan\t10 m\tEspañol\t3.900.000\tDólar americano\tGMT-6\tMarino tropical, suave durante la mayor parte del año.\tEmbajadas y Consulados\tFiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MARRUECOS\tRabat\t0 m\tÁrabe\t30.000.000\tDirham\tGMT\tMediterráneo en la costa, con veranos calurosos e inviernos templados. Continental en el interior, frío en invierno en el Atlas y en las noches de invierno en el desierto. Las lluvias dependen de la altitud y latitud, teniendo lugar sobre todo de noviembre a enero.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
OM&#xC1;N\tMascate\t20 m\tÁrabe\t2.700.000\tRial de Oman\tGMT+4\tCaliente, húmedo y variable en función de la cercanía a la costa y la altitud. Altas temperaturas y humedad en la costa; relativamente templado en las montañas, con fuertes lluvias, tormentas y nieve entre diciembre y marzo. En el interior es desértico, con temperaturas cercanas a los 40º. Ocasionales ciclones tropicales. En la Provincia de Dhofar, se producen monzones durante el verano. Se recomienda llevar ropa veraniega todo el año, con algún jersey para las noches.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 9 meses procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MOZAMBIQUE\tMaputo\t50 m\tPortugués\t19.000.000\tMetical\tGMT+2\tDe tropical a subtropical con una estación seca desde abril a octubre. De agosto a mayo se recomienda llevar ropa ligera de verano durante el resto del año es aconsejable ir provisto de alguna prenda de abrigo.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado por aeropuertos con riesgo de transmisión de la fiebre amarilla (con la excepción de Sudán del Sur y con la adición de Santo Tomé y Príncipe, Somalia, Rep.Unida de Tanzania en África; con la excepción de Argentina, Guayana Francesa y Paraguay en Sudamérica) . Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
SAMOA AMERICANA\tPago Pago\t10 m\tSamoano e inglés\t70.000\tDólar estadounidense\tGMT-11\tTropical, estación de lluvias de diciembre a abril.\tEmbajadas y Consulados\tFIEBRE AMARILLA: Requisitos del país: ninguno. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MONTSERRAT\tPlymouth\t120 m\tInglés\t3.300\tDólar del Caribe Oriental\tGMT-6\tEl clima es tropical lluvioso, moderado por la influencia marina.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
PER&#xDA;\tLima\t90 m\tEspañol, Quechua y Aymara\t28.200.000\tNuevo sol\tGMT-5\tVaría de tropical a frío. En la región costera es suave, en la región montañosa es frío y en la zona selvática es tropical.\tEmbajadas y Consulados\tNingún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla (2015): Sí. Recomendada para los viajeros a partir de 9 meses de edad que se dirijan a las áreas siguientes por debajo de 2.300 metros de altitud: todas las regiones del Amazonas, Loreto, Madre de Dios, San Martin, Ucayali, Puno, Cuzco; Junín, Pasco y Huánuco, y áreas indicadas de las regiones siguientes: noreste de Ancash; norte de Apurímac; norte y noreste de Ayacucho; norte y este de Cajamarca; noroeste, norte y noreste de Cuzco; norte de Huancavelica; norte, parte central y este de Huánuco; norte y este de Junín; este de La Libertad; parte central y este de  Pasco; este de Piura.
Generalmente no recomendada ((La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros cuyo itinerario se limite a las áreas siguientes del oeste de los Andes: la totalidad de las regiones de Lambayeque y Tumbes y las áreas indicadas del oeste de Piura y parte centro-oeste de Cajamarca. No recomendada para viajeros cuyo itinerario se limite a las áreas siguientes: todas aquellas por encima de 2300 m de altitud, áreas al oeste de los Andes no mencionadas anteriormente y las ciudades de Cuzco y Lima, Machu Picchu, y el camino Inca.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
REP&#xDA;BLICA CENTROAFRICANA\tBangui\t380 m\tSango, francés\t3.800.000\tFranco CFA\tGMT+1\tEs cálido y húmedo. La temperatura media anual es de aproximadamente 26ºC. Al principio de la estación lluviosa (de mayo a octubre) son habituales los tornados y las inundaciones.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 9 meses de edad. Recomendaciones de vacunación contra la fiebre amarilla: Sí.\tPueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados. Es conveniente tener actualizado el calendario oficial de vacunaciones.\t,
M&#xC9;XICO\tCiudad de México\t2.250 m\tEspañol\t100.000.000\tNuevo peso mexicano\tGMT-6\tCálido en las zonas costeras y tropical en las proximidades de la Península de Yucatán. En la Península Baja y las zonas interiores al norte se encuentran varias regiones desérticas áridas.\tEmbajadas y Consulados\tFiebre Amarilla (2015): Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MALAWI\tLilongwe\t1.030 m\tChewa e Inglés\t11.800.000\tKwacha\tGMT+2\tSemitropical, las variaciones dependen de la altitud. La estación de las lluvias se extiende desde octubre a abril.\tEmbajadas y Consulados\tSe exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
